,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0003735,GO:0003735,structural constituent of ribosome,60/652,125/13263,3.16387440523898e-45,3.10692466594468e-42,3.01400667025397e-42,Mrpl41/Rpl31/Fau/Rpsa/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Rpl13a/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Mrpl21/Rps28/Mrpl12/Mrps23/Rpl23/Ndufa7/Rps23/Rps21/Mrpl51/Mrpl33/Rpl11/Rps10/Rpl14/Rplp2/Rps20/Rpl38/Mrpl24/Rpl4/Rps13/Rpl24/Mrpl13/Mrps18a/Mrpl28/Rps25/Rps9,60
GO:0003723,GO:0003723,RNA binding,185/652,1331/13263,4.12375702655287e-42,2.02476470003746e-39,1.96421058370018e-39,Imp3/Xpo1/Cnot6/Snrpd2/Mrpl41/Rpl31/Rplp0/C1qbp/Eef1a1/Eif4g2/Erh/Fscn1/Fau/Fbl/Gnb2l1/Emg1/Hmgb3/Hnrnpc/Hnrnpl/Prmt1/Hspe1/Trmt2a/Kin/Rpsa/Lgals1/Sumo2/Mettl1/Mdh2/Mvk/Nme1/Npm1/Papola/Prkcsh/Psmc1/Purb/Ranbp2/Rpl10a/Rpl19/Rpl21/Rpl22/Rpl28/Rpl37a/Rpl6/Rpl9/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps5/Rps6/Rps8/Sart1/Snrnp70/Fam120c/Srp14/Trove2/Ssrp1/Stip1/Eif5a2/Alyref/Srp68/Tia1/Btf3/Rpl13a/Tuba1b/Txn1/Ube2i/Abcf1/Safb/Rbm27/D2Wsu81e/Exosc2/Dnajc2/Ythdf3/Zcchc11/Sfswap/Pdap1/Scaf1/Smg1/Fus/Ccdc124/Ppan/Tnpo1/Mex3c/Smc1a/Psma6/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl2/Rrp9/Exosc5/Nop16/Rpl17/Rc3h2/Ep300/Mrpl21/Rc3h1/Ssbp1/Nhp2/Eif3g/Cnot4/Rps28/Eif3i/Eif3d/Eef1b2/Ptbp2/Syncrip/Mbnl1/Srsf4/Park7/Noc2l/Edf1/Pcbp4/Mrps23/Rpl23/Mrpl54/1110037F02Rik/Nosip/Tsfm/Exosc7/Rps23/Rps21/Rpl35/Rps19bp1/Eef1d/Prkrip1/Serbp1/Cisd2/Rpl11/Rps10/Rpl14/Mrpl42/Cltc/Snrpd3/Rps20/Mtpap/Mfap1a/Lsm3/2310033P09Rik/Rpl4/Mphosph10/Snrpg/Rbm42/Rps13/Gltscr2/Rpl24/Mrpl13/Ict1/Mrpl28/Snrpa1/Aarsd1/Rnaseh2a/Dazap1/Dcp2/Sfpq/Dhx36/Exosc6/2700094K13Rik/3110082I17Rik/Eif3k/Otud4/Lonp1/Rrp7a/Manf/Sf3a3/Rps25/Rps9/Rbm17/Ascc3/Dnajc21/Srrt/Hmgb2/Nol12/Gtf2f1/Lbr,185
GO:0044822,GO:0044822,poly(A) RNA binding,151/652,1033/13263,2.81542303370513e-36,9.21581806366145e-34,8.94020296667769e-34,Imp3/Snrpd2/Mrpl41/Rpl31/Rplp0/C1qbp/Eef1a1/Eif4g2/Erh/Fscn1/Fau/Fbl/Gnb2l1/Emg1/Hnrnpc/Hnrnpl/Prmt1/Hspe1/Trmt2a/Rpsa/Lgals1/Sumo2/Mdh2/Mvk/Nme1/Npm1/Psmc1/Purb/Rpl10a/Rpl19/Rpl21/Rpl22/Rpl28/Rpl37a/Rpl6/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps5/Rps6/Rps8/Sart1/Snrnp70/Fam120c/Srp14/Ssrp1/Stip1/Srp68/Tia1/Btf3/Rpl13a/Txn1/Ube2i/Abcf1/Safb/Rbm27/D2Wsu81e/Dnajc2/Ythdf3/Zcchc11/Pdap1/Smg1/Ccdc124/Ppan/Tnpo1/Mex3c/Smc1a/Rpl27a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl2/Rrp9/Nop16/Rpl17/Rc3h2/Mrpl21/Rc3h1/Ssbp1/Nhp2/Eif3g/Cnot4/Rps28/Eif3d/Ptbp2/Syncrip/Mbnl1/Srsf4/Park7/Noc2l/Edf1/Pcbp4/Mrps23/Rpl23/Mrpl54/1110037F02Rik/Nosip/Tsfm/Exosc7/Rps23/Rps21/Rpl35/Rps19bp1/Serbp1/Cisd2/Rpl11/Rps10/Rpl14/Mrpl42/Cltc/Snrpd3/Rps20/Mtpap/Mfap1a/Lsm3/2310033P09Rik/Rpl4/Mphosph10/Rbm42/Rps13/Gltscr2/Rpl24/Mrpl13/Mrpl28/Snrpa1/Sfpq/Dhx36/Exosc6/2700094K13Rik/3110082I17Rik/Otud4/Rrp7a/Manf/Sf3a3/Rps25/Rps9/Ascc3/Dnajc21/Srrt/Hmgb2/Nol12/Gtf2f1/Lbr,151
GO:0003676,GO:0003676,nucleic acid binding,254/652,2799/13263,1.11671155986549e-26,2.74152687946977e-24,2.65953674125859e-24,Imp3/Xpo1/Rcor2/E2f4/0610010K14Rik/Cnot6/Cggbp1/Snrpd2/Mrpl41/Kif22/Rpl31/Parp2/Aebp2/Rplp0/Atf4/C1qbp/Creb1/Eef1a1/Eif4g2/Erh/Fscn1/Fau/Fbl/Gnb2l1/Emg1/Gtf2i/Hdgfrp2/Hmgb3/Hnrnpc/Hnrnpl/Agfg1/Prmt1/Hspe1/Trmt2a/Jund/Kin/Rpsa/Ldb1/Lgals1/Sumo2/Mbd3/Mcm7/Mettl1/Mdh2/Mvk/Naca/Nfatc3/Nme1/Npm1/Nsd1/Papola/Pold2/Prkcsh/Psmc1/Psmc3ip/Purb/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl19/Rpl21/Rpl22/Rpl28/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps5/Rps6/Rps8/Prrx2/Sart1/Snrnp70/Sos1/Sp3/Sp4/Fam120c/Srp14/Trove2/Ssrp1/Stip1/Eif5a2/Asxl3/Tcf15/Tcf3/Vps72/Tead1/Tead2/Alyref/Spag7/Srp68/Terf1/Tia1/Btf3/Rpl13a/Tuba1b/Txn1/Ube2i/Abcf1/Safb/Rbm27/Xrcc1/Zfp2/D2Wsu81e/Exosc2/Dnajc2/Ythdf3/Zcchc11/Fbxo21/Sfswap/Pdap1/Scaf1/Smg1/Fus/Ccdc124/Ppan/Tnpo1/Mex3c/Smc1a/Taf10/Atr/Orc4/Psma6/Rpl27a/Rpl23a/Setx/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl2/Rrp9/Exosc5/Nop16/Mga/Rpl17/Zfp653/Rc3h2/Taf2/Sp8/Ep300/Mrpl21/Rc3h1/Ssbp1/Sall2/Orc3/Klf13/Nhp2/Eif3g/Cnot4/Rps28/Nfat5/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Syncrip/Mbnl1/Srsf4/Park7/Noc2l/Edf1/Pcbp4/Zfp280b/Mrps23/Rpl23/Zfand6/Mrpl54/1110037F02Rik/Nosip/Tsfm/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Rps19bp1/Drap1/Eef1d/Zbed6/Prkrip1/Serbp1/Pbrm1/Cisd2/Rpl11/Polr3d/Rps10/Rpl14/Mrpl42/Cltc/Snrpd3/Rps20/Mtpap/Mfap1a/Lsm3/2310033P09Rik/Rpl4/Mphosph10/Snrpg/Rbm42/Rps13/Gltscr2/Rpl24/Mrpl13/Ict1/Mrpl28/Snrpa1/Aarsd1/Rnaseh2a/Polr2f/Polr2i/Dazap1/Dcp2/Mier1/Sfpq/Dhx36/Exosc6/2700094K13Rik/Zfp518a/Zkscan3/3110082I17Rik/Eif3k/Otud4/Lonp1/Polr3c/Rrp7a/Manf/Sf3a3/Rps25/Rps9/Rbm17/H2afv/Ascc3/Dnajc21/Srrt/Hmgb2/Nol12/Gtf2f1/Lbr/Sall4,254
GO:0005198,GO:0005198,structural molecule activity,68/652,342/13263,9.80716033180893e-24,1.92612628916727e-21,1.86852212637623e-21,Mrpl41/Rpl31/Copa/Fau/Rpsa/Myl6/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Rpl13a/Tuba1b/Map2k2/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Mrpl21/Rps28/Mrpl12/Arpc3/Cope/Mrps23/Rpl23/Ndufa7/Rps23/Rps21/Mrpl51/Mrpl33/Rpl11/Rps10/Rpl14/Rplp2/Cltc/Rps20/Rpl38/Mrpl24/Rpl4/Rps13/Dusp19/Rpl24/Mrpl13/Mrps18a/Mrpl28/Rps25/Rps9,68
GO:0097159,GO:0097159,organic cyclic compound binding,319/652,4253/13263,3.508492417832e-20,5.74223259051838e-18,5.57050111954029e-18,Imp3/Xpo1/Rcor2/E2f4/0610010K14Rik/Cnot6/Cggbp1/Snrpd2/Mrpl41/Braf/Kif22/Dync2h1/Rpl31/Parp2/Aebp2/Aldh2/Rplp0/Arhgap5/Atf4/Atp6v1a/Bmpr1a/Bub1/C1qbp/Cct5/Cdk11b/Creb1/Dck/Eef1a1/Eif4g2/Erh/Fscn1/Fau/Fbl/Fkbp2/Gnas/Gnb2l1/Emg1/Gtf2i/Guk1/Hars/Hdgfrp2/Hint1/Hipk3/Hmgb3/Hnrnpc/Hnrnpl/Agfg1/Prmt1/Hspe1/Trmt2a/Ide/Idh3g/Jund/Kin/Rpsa/Ldb1/Lgals1/Sumo2/Mbd3/Mcm7/Mettl1/Mdh2/Mvk/Naca/Ndufv1/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Pdpk1/Pik3c2a/Prkci/Papola/Pold2/Prkcsh/Psmc1/Psmc3ip/Psmc5/Purb/Rab5c/Rab7/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl19/Rpl21/Rpl22/Rpl28/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps5/Rps6/Rps8/Prrx2/Sars/Sart1/Snrnp70/Sos1/Sp3/Sp4/Fam120c/Srp14/Trove2/Ssrp1/Stip1/Stk11/Eif5a2/Asxl3/Tcf15/Tcf3/Vps72/Cdc34/Tead1/Tead2/Alyref/Spag7/Srp68/Terf1/Tia1/Btf3/Rpl13a/Tuba1b/Txn1/Ube2m/Ube2i/Abcf1/Safb/Rbm27/Xrcc1/Ndufs2/Zfp2/D2Wsu81e/Exosc2/Dnajc2/Ythdf3/Zcchc11/Uba6/Fbxo21/Sfswap/Pdap1/Wnk1/Scaf1/Smg1/Fus/Ccdc124/Spg7/Ppan/Phgdh/Osbpl8/Tnpo1/Mex3c/Smc1a/Taf10/Atr/Map2k2/Orc4/Psma6/Rpl27a/Rpl23a/Setx/Rpl12/Rpl8/Idh2/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl2/Rrp9/Exosc5/Atp5o/Nop16/Mga/Tor1a/Rpl17/Zfp653/Rc3h2/Taf2/Sp8/Ep300/Mrpl21/Rc3h1/Ssbp1/Sall2/Orc3/Klf13/Nhp2/Eif3g/Cnot4/Rab11a/Rps28/Nfat5/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Arl2/Arl3/Syncrip/Ruvbl1/Nme4/Gsk3b/Mbnl1/Srsf4/Park7/Noc2l/Trpm7/Rab2a/Edf1/Pcbp4/Zfp280b/Mrps23/Rpl23/Zfand6/Mrpl54/Sdhc/1110037F02Rik/Nosip/Tsfm/Dctpp1/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Rps19bp1/Drap1/Eef1d/Zbed6/Prkrip1/Serbp1/Pbrm1/Cisd2/Rpl11/Polr3d/Rps6ka6/Rps10/Rpl14/Ndufa13/Mrpl42/Ndufa10/Cltc/Snrpd3/Rps20/Mtpap/Mfap1a/Lsm3/2310033P09Rik/Rpl4/Npc2/Mphosph10/Snrpg/Rbm42/Rps13/Gltscr2/Dcakd/Rpl24/Mrpl13/Ict1/Pmvk/Mrpl28/Ube2c/Snrpa1/Aarsd1/Rnaseh2a/Polr2f/Polr2i/Dazap1/Gtpbp3/Atad2/Dcp2/Mier1/Sfpq/Dhx36/Exosc6/2700094K13Rik/Zfp518a/Zkscan3/3110082I17Rik/Kif2c/Eif3k/Otud4/Lonp1/Polr3c/Rrp7a/Manf/Sf3a3/Arl5a/Rps25/Arl5b/Rps9/Rbm17/H2afv/Ube2s/Ascc3/Dnajc21/Srrt/Csnk1a1/Hmgb2/Nol12/Gtf2f1/Lbr/Sall4,319
GO:1901363,GO:1901363,heterocyclic compound binding,316/652,4208/13263,5.39422182623023e-20,7.56732261908298e-18,7.34100865073438e-18,Imp3/Xpo1/Rcor2/E2f4/0610010K14Rik/Cnot6/Cggbp1/Snrpd2/Mrpl41/Braf/Kif22/Dync2h1/Rpl31/Parp2/Aebp2/Aldh2/Rplp0/Arhgap5/Atf4/Atp6v1a/Bmpr1a/Bub1/C1qbp/Cct5/Cdk11b/Creb1/Dck/Eef1a1/Eif4g2/Erh/Fscn1/Fau/Fbl/Fkbp2/Gnas/Gnb2l1/Emg1/Gtf2i/Guk1/Hars/Hdgfrp2/Hint1/Hipk3/Hmgb3/Hnrnpc/Hnrnpl/Agfg1/Prmt1/Hspe1/Trmt2a/Ide/Idh3g/Jund/Kin/Rpsa/Ldb1/Lgals1/Sumo2/Mbd3/Mcm7/Mettl1/Mdh2/Mvk/Naca/Ndufv1/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Pdpk1/Pik3c2a/Prkci/Papola/Pold2/Prkcsh/Psmc1/Psmc3ip/Psmc5/Purb/Rab5c/Rab7/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl19/Rpl21/Rpl22/Rpl28/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps5/Rps6/Rps8/Prrx2/Sars/Sart1/Snrnp70/Sos1/Sp3/Sp4/Fam120c/Srp14/Trove2/Ssrp1/Stip1/Stk11/Eif5a2/Asxl3/Tcf15/Tcf3/Vps72/Cdc34/Tead1/Tead2/Alyref/Spag7/Srp68/Terf1/Tia1/Btf3/Rpl13a/Tuba1b/Txn1/Ube2m/Ube2i/Abcf1/Safb/Rbm27/Xrcc1/Ndufs2/Zfp2/D2Wsu81e/Exosc2/Dnajc2/Ythdf3/Zcchc11/Uba6/Fbxo21/Sfswap/Pdap1/Wnk1/Scaf1/Smg1/Fus/Ccdc124/Spg7/Ppan/Phgdh/Tnpo1/Mex3c/Smc1a/Taf10/Atr/Map2k2/Orc4/Psma6/Rpl27a/Rpl23a/Setx/Rpl12/Rpl8/Idh2/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl2/Rrp9/Exosc5/Nop16/Mga/Tor1a/Rpl17/Zfp653/Rc3h2/Taf2/Sp8/Ep300/Mrpl21/Rc3h1/Ssbp1/Sall2/Orc3/Klf13/Nhp2/Eif3g/Cnot4/Rab11a/Rps28/Nfat5/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Arl2/Arl3/Syncrip/Ruvbl1/Nme4/Gsk3b/Mbnl1/Srsf4/Park7/Noc2l/Trpm7/Rab2a/Edf1/Pcbp4/Zfp280b/Mrps23/Rpl23/Zfand6/Mrpl54/Sdhc/1110037F02Rik/Nosip/Tsfm/Dctpp1/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Rps19bp1/Drap1/Eef1d/Zbed6/Prkrip1/Serbp1/Pbrm1/Cisd2/Rpl11/Polr3d/Rps6ka6/Rps10/Rpl14/Ndufa13/Mrpl42/Ndufa10/Cltc/Snrpd3/Rps20/Mtpap/Mfap1a/Lsm3/2310033P09Rik/Rpl4/Mphosph10/Snrpg/Rbm42/Rps13/Gltscr2/Dcakd/Rpl24/Mrpl13/Ict1/Pmvk/Mrpl28/Ube2c/Snrpa1/Aarsd1/Rnaseh2a/Polr2f/Polr2i/Dazap1/Gtpbp3/Atad2/Dcp2/Mier1/Sfpq/Dhx36/Exosc6/2700094K13Rik/Zfp518a/Zkscan3/3110082I17Rik/Kif2c/Eif3k/Otud4/Lonp1/Polr3c/Rrp7a/Manf/Sf3a3/Arl5a/Rps25/Arl5b/Rps9/Rbm17/H2afv/Ube2s/Ascc3/Dnajc21/Srrt/Csnk1a1/Hmgb2/Nol12/Gtf2f1/Lbr/Sall4,316
